Country,avg_people_vaccinated,avg_people_fully_vaccinated,avg_new_cases,avg_new_deaths
Chad,5147667.0,5020360.0,43.02793296089386,1.0837988826815643
Paraguay,3995915.0,3550673.0,4686.363057324841,126.62420382165605
Anguilla,10858.0,10382.0,48.19753086419753,0.14814814814814814
Yemen,1050202.0,807057.0,97.90983606557377,17.69672131147541
Senegal,2684696.0,1548665.0,396.9688888888889,8.725663716814159
Sweden,7563941.0,7403549.0,10909.858267716536,111.6732283464567
Cabo Verde,356734.0,308720.0,348.5081081081081,2.254054054054054
Tokelau,2203.0,2203.0,0.3902439024390244,0.0
Kiribati,100900.0,81474.0,24.804878048780488,0.11707317073170732
Republic of Korea,4.5119824E7,4.4689199E7,168643.28292682927,175.28780487804877
Guyana,497550.0,384507.0,304.0489795918367,5.314285714285714
Philippines,8.2684774E7,7.8443972E7,19530.10849056604,315.39622641509436
Tonga,87375.0,77390.0,76.8868778280543,0.058823529411764705
Djibouti,372077.0,351712.0,135.25862068965517,1.6293103448275863
Singapore,5287005.0,5248693.0,13789.701834862386,9.284403669724771
Malaysia,2.8137593E7,2.7550612E7,20722.447470817122,144.77131782945736
Fiji,712025.0,641194.0,336.81463414634146,4.317073170731708
Malawi,5433538.0,4288014.0,474.29787234042556,14.211640211640212
Sint Maarten (Dutch part),29788.0,26773.0,77.82394366197182,0.647887323943662
Iraq,1.1332925E7,7944775.0,16547.28187919463,170.3020134228188
Germany,6.4868618E7,6.3566137E7,158833.70247933886,723.0537190082645
Comoros,438825.0,397080.0,59.92763157894737,1.0526315789473684
Afghanistan,1.9151369E7,1.8370386E7,1078.9633027522937,36.68807339449541
Cambodia,1.531667E7,1.4693274E7,568.6775510204081,12.473469387755102
Maldives,399308.0,385167.0,910.7024390243903,1.5414634146341464
Rwanda,1.0884714E7,1.0399665E7,732.2307692307693,8.065934065934066
Jordan,4821579.0,4558313.0,13135.315789473685,106.18045112781955
Saint Helena,0.0,0.0,144.4,0.0
Sudan,1.5207452E7,1.3416394E7,405.0189873417722,31.936708860759495
Palau,20295.0,18278.0,30.34285714285714,0.047619047619047616
France,5.4677676E7,5.3189148E7,171099.98684210525,709.4261603375527
Turks and Caicos Islands,32815.0,30710.0,31.05909090909091,0.18181818181818182
Greece,7917288.0,7745574.0,22736.418972332016,157.59683794466403
Sri Lanka,1.7143761E7,1.4752827E7,2912.6060606060605,73.19047619047619
Montserrat,2104.0,1952.0,25.053571428571427,0.13793103448275862
Dominica,32995.0,30659.0,90.15168539325843,0.4157303370786517
British Virgin Islands,19466.0,18261.0,48.993589743589745,0.41025641025641024
Togo,2255579.0,1554066.0,172.65065502183407,1.2663755458515285
Algeria,7840131.0,6481186.0,1199.0704845814978,30.312775330396477
Equatorial Guinea,270109.0,214032.0,123.23741007194245,1.316546762589928
Slovakia,2840017.0,2791711.0,7664.90243902439,86.44715447154472
Argentina,4.118865E7,3.8090133E7,48376.01435406699,625.5215311004785
Angola,1.6550642E7,9609080.0,457.3914893617021,8.242553191489362
Belgium,9248897.0,9152736.0,19342.885375494072,135.72727272727272
"occupied Palestinian territory, including east Jerusalem",2012767.0,1776973.0,5133.051094890511,41.66423357664234
San Marino,26357.0,23633.0,139.73480662983425,0.6961325966850829
Qatar,2852178.0,2852178.0,2957.0344827586205,3.9655172413793105
Ecuador,1.5345791E7,1.4249559E7,4773.880530973452,159.5353982300885
Lesotho,1014073.0,938088.0,280.13953488372096,5.496124031007752
Albania,1349255.0,1279333.0,1505.3392857142858,16.107142857142858
Madagascar,2710365.0,2628849.0,295.6810344827586,6.155172413793103
Finland,4547671.0,4365135.0,5858.25,44.7890625
New Caledonia,192371.0,184801.0,387.45410628019323,1.5169082125603865
Myanmar,4.1551927E7,3.5937796E7,2493.1744186046512,75.55813953488372
Nicaragua,6404524.0,6126708.0,67.4875,1.012396694214876
Ghana,1.3864186E7,1.0780003E7,832.5169082125603,7.067632850241546
Brunei Darussalam,451149.0,446714.0,1342.1149425287356,0.6973180076628352
Benin,3697190.0,2742837.0,194.69444444444446,1.1319444444444444
Peru,3.0542485E7,2.8709882E7,21261.539906103288,1032.6822429906542
Sierra Leone,5676123.0,4961886.0,49.29012345679013,0.7621951219512195
Bahamas,174810.0,166972.0,213.8087431693989,4.639344262295082
China,1.318026807E9,1.284479582E9,380772.3333333333,468.9310344827586
India,1.027419851E9,9.52128795E8,173917.1776061776,2060.4671814671815
Belarus,6451746.0,6366658.0,5584.5224719101125,39.98876404494382
Malta,450535.0,444904.0,490.42063492063494,4.003968253968254
Timor-Leste,886838.0,801759.0,114.4390243902439,0.6731707317073171
Kuwait,3457498.0,3346176.0,3223.623188405797,12.415458937198068
Sao Tome and Principe,140256.0,111986.0,38.03932584269663,0.449438202247191
Somalia,8972167.0,7666835.0,213.546875,10.6328125
Tuvalu,9763.0,9505.0,14.35609756097561,0.004878048780487805
Chile,1.7538744E7,1.7721999E7,21383.18181818182,248.44664031620553
Puerto Rico,3136418.0,2688410.0,7412.502958579882,35.13609467455621
Tajikistan,5328277.0,5191919.0,146.9917355371901,1.0330578512396693
United Republic of Tanzania,3.4434933E7,3.2165791E7,321.22222222222223,6.266666666666667
Cayman Islands,62113.0,60696.0,243.96899224806202,0.2846153846153846
Bolivia (Plurinational State of),7505389.0,6307628.0,4967.852459016393,91.75
Croatia,2321669.0,2246622.0,5346.577075098814,74.23320158102767
Burundi,36909.0,36321.0,268.8128078817734,0.07352941176470588
Andorra,57913.0,53501.0,303.89240506329116,1.0063291139240507
Nigeria,9.3829435E7,8.1297808E7,1509.5480225988701,17.824858757062145
Gabon,311244.0,257471.0,318.54545454545456,1.9935064935064934
Italy,5.0583975E7,4.9484586E7,105201.90588235293,774.6745098039215
Suriname,267820.0,237879.0,434.2421052631579,7.361256544502618
Lithuania,1960786.0,1907061.0,5677.672,39.472
Turkmenistan,4614869.0,4568901.0,0.0,0.0
Norway,4346149.0,4061312.0,6103.0318725099605,22.836653386454184
Spain,4.1332877E7,3.7486219E7,57770.0,503.5206611570248
Cuba,1.07868E7,1.0043987E7,6152.828729281768,47.12707182320442
Mauritania,2103754.0,1540597.0,281.4052863436123,4.392070484581498
Czechia,6972222.0,6887973.0,19148.13888888889,173.6984126984127
Guadeloupe,152189.0,146147.0,1286.2974683544303,6.421383647798742
Denmark,4737987.0,4781285.0,13836.951807228916,40.208835341365464
Niger,6248483.0,5483001.0,52.0655737704918,1.721311475409836
Central African Republic,2600389.0,2484985.0,87.74431818181819,0.6420454545454546
Bangladesh,1.51504394E8,1.42193276E8,7890.515384615384,113.45769230769231
Barbados,163853.0,155047.0,552.4720812182741,3.010152284263959
Venezuela (Bolivarian Republic of),2.2157232E7,1.428737E7,3370.0914634146343,35.707317073170735
Russian Federation,8.9081596E7,7.9702396E7,98021.06719367589,1596.7549407114625
Ireland,4245977.0,4063819.0,6952.571428571428,39.34126984126984
Congo,695760.0,654119.0,135.66666666666666,2.0913978494623655
Liechtenstein,26681.0,26346.0,93.9695652173913,0.3869565217391304
Thailand,5.7666184E7,5.4196116E7,18494.053846153845,133.61923076923077
Bhutan,699116.0,677669.0,305.8390243902439,0.1024390243902439
Democratic Republic of the Congo,1.7045721E7,1.439952E7,433.4334763948498,6.32618025751073
Morocco,2.5020168E7,2.3521989E7,5921.8287037037035,75.48611111111111
Monaco,25123.0,25261.0,90.9047619047619,0.3544973544973545
Panama,3746041.0,3178700.0,4213.927419354839,35.33870967741935
Nauru,13106.0,11346.0,26.307317073170733,0.004878048780487805
Ukraine,1.6267198E7,1.5741036E7,23679.97435897436,469.7649572649573
Iceland,307412.0,297934.0,836.281746031746,0.7380952380952381
Israel,7055466.0,6385731.0,18986.501960784313,49.831372549019605
Saint Kitts and Nevis,33794.0,27000.0,57.95614035087719,0.40350877192982454
T�rkiye,5.7936783E7,5.317179E7,84600.55721393035,504.5721393034826
French Polynesia,195688.0,195688.0,346.9475982532751,2.8384279475982535
Oman,3279632.0,3048826.0,2610.777777777778,30.248366013071895
United States of America,2.70227181E8,2.30637348E8,597900.7456647399,4692.662790697675
Cyprus,669294.0,656138.0,3171.1071428571427,6.683035714285714
Gibraltar,0.0,0.0,146.78571428571428,0.8071428571428572
Uruguay,3010464.0,2903186.0,4940.810426540284,36.459715639810426
Mexico,9.6727823E7,8.1346379E7,34491.009049773755,1515.0135746606336
Aruba,90493.0,84363.0,298.81081081081084,1.972972972972973
C�te d'Ivoire,1.3568372E7,1.2164304E7,411.42790697674417,3.883720930232558
Estonia,845148.0,842177.0,2436.3333333333335,11.896825396825397
Georgia,1300867.0,1187212.0,7704.061983471074,70.87190082644628
Montenegro,272152.0,254365.0,1225.7560975609756,12.946341463414635
Zimbabwe,7525882.0,5662119.0,1148.271551724138,24.63519313304721
Indonesia,2.04419394E8,1.74965137E8,27211.478087649404,645.6533864541833
Saint Vincent and the Grenadines,37532.0,31632.0,58.98780487804878,0.7560975609756098
Guatemala,8937923.0,7130895.0,5001.576,80.812
Mongolia,2284018.0,2185282.0,4359.866379310345,9.206896551724139
Azerbaijan,5436662.0,4888112.0,3319.4126984126983,41.083333333333336
Libya,2316327.0,1236102.0,3019.4583333333335,38.31547619047619
Cura�ao,108601.0,100885.0,299.8888888888889,1.9934640522875817
Grenada,44241.0,39034.0,193.0686274509804,2.3333333333333335
Armenia,1150915.0,1030758.0,1797.9722222222222,34.83730158730159
Tunisia,8896848.0,6401705.0,6824.621301775148,174.10059171597632
Liberia,3903802.0,3730967.0,46.65882352941176,1.7294117647058824
Honduras,6596213.0,5853689.0,1922.4024390243903,45.17886178861789
Trinidad and Tobago,754399.0,718969.0,1212.0,27.78481012658228
Saudi Arabia,2.7041364E7,2.5433941E7,5069.090361445783,58.10843373493976
Uganda,2.0033189E7,1.3061126E7,848.0837438423646,17.891625615763548
Iran (Islamic Republic of),6.5199831E7,5.8585264E7,36151.00947867298,695.9099526066351
Wallis and Futuna,7150.0,6803.0,18.25242718446602,0.043689320388349516
French Guiana,100359.0,90493.0,649.2781456953643,2.7350993377483444
Namibia,629767.0,550978.0,829.5961538461538,19.66507177033493
Switzerland,6096600.0,5723066.0,17689.00790513834,56.00790513833992
Zambia,1.1711565E7,9155551.0,1715.1568627450981,19.89268292682927
Ethiopia,5.2489512E7,4.3653006E7,2237.7589285714284,33.8125
Eswatini,526050.0,427335.0,374.90547263681594,7.099502487562189
Jamaica,722248.0,760800.0,644.8729508196722,14.84016393442623
Latvia,1344394.0,1304787.0,3880.0198412698414,29.66269841269841
United Kingdom of Great Britain and Northern Ireland,5.3813491E7,5.0762968E7,97367.96498054474,903.15953307393
United Arab Emirates,9991089.0,9792266.0,6132.35632183908,13.5
South Sudan,4315127.0,4273253.0,107.74285714285715,0.84
Saint Lucia,60140.0,54971.0,137.41363636363636,1.8636363636363635
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),904558.0,824752.0,1474.6182795698924,17.268817204301076
Guinea,8715641.0,5853990.0,233.83030303030304,2.8363636363636364
Canada,3.2647931E7,3.1314748E7,20419.724576271186,234.24576271186442
Seychelles,88520.0,83565.0,289.93854748603354,0.9608938547486033
Kyrgyzstan,1528725.0,1337850.0,488.75274725274727,5.626373626373627
Samoa,191403.0,177954.0,81.61244019138756,0.14832535885167464
Uzbekistan,2.209447E7,1.8451781E7,931.2872340425532,5.404255319148936
North Macedonia,854570.0,838181.0,1391.5415019762845,39.48616600790514
Mozambique,2.2869646E7,2.1329745E7,1048.7713004484306,10.09865470852018
Cook Islands,15112.0,14728.0,33.07174887892376,0.008968609865470852
Belize,236221.0,221478.0,307.88793103448273,2.9655172413793105
Brazil,1.84663245E8,1.72876264E8,223285.24404761905,4179.261904761905
Gambia,674314.0,539186.0,74.2764705882353,2.1882352941176473
Kenya,1.4494372E7,1.109044E7,1630.867298578199,26.96208530805687
Lebanon,2740227.0,2414223.0,7167.075144508671,63.27745664739884
Lao People's Democratic Republic,6324678.0,5691962.0,948.3116883116883,2.9047619047619047
Slovenia,1252307.0,1187384.0,5423.183266932271,39.49800796812749
Antigua and Barbuda,64290.0,62384.0,75.88333333333334,1.2166666666666666
Viet Nam,9.0497674E7,8.5961564E7,56702.439024390245,210.7609756097561
Dominican Republic,7360900.0,6130483.0,4031.1158536585367,26.73170731707317
Botswana,1951054.0,1663490.0,1645.2537313432836,13.866336633663366
Japan,1.04740066E8,1.03455221E8,164895.4731707317,364.3609756097561
Luxembourg,469285.0,462715.0,1568.5335968379447,3.952569169960474
New Zealand,4259911.0,4096278.0,10363.35019455253,17.49805447470817
Netherlands (Kingdom of the),1.3469323E7,1.2405837E7,34404.96812749004,91.57768924302789
Bosnia and Herzegovina,546013.0,461202.0,1622.9718875502008,65.87951807228916
Greenland,0.0,0.0,206.39655172413794,0.3620689655172414
Haiti,521396.0,366339.0,172.0990099009901,4.257425742574258
Poland,2.2984543E7,2.2705868E7,26862.194444444445,480.0515873015873
Republic of Moldova,1109524.0,1078961.0,2593.0956175298807,48.93625498007968
Portugal,9822021.0,8910340.0,22325.17716535433,114.48031496062993
Australia,2.2443557E7,2.176624E7,51795.46288209607,110.6842105263158
Papua New Guinea,399198.0,338004.0,228.60487804878048,3.268292682926829
Cameroon,3753733.0,3197286.0,684.5846994535519,10.78688524590164
Romania,8188137.0,8142363.0,14101.478260869566,272.52569169960475
Guinea-Bissau,747057.0,547637.0,70.69117647058823,1.2919708029197081
Bulgaria,2155863.0,2080472.0,5334.705179282869,154.46613545816734
Solomon Islands,335796.0,254016.0,126.60487804878049,0.9707317073170731
Austria,6909588.0,6682372.0,25775.47033898305,95.48305084745763
Nepal,2.7883196E7,2.4471043E7,4894.878048780488,58.68780487804878
Egypt,5.6907319E7,4.2337175E7,3108.5722891566265,149.57831325301206
El Salvador,4659970.0,4397817.0,1057.4188481675392,19.674418604651162
Kazakhstan,1.2443364E7,1.3070774E7,6656.504424778761,84.38938053097345
Costa Rica,4650636.0,4369784.0,5721.412037037037,43.398148148148145
Serbia,3398116.0,3324555.0,13316.855670103092,93.07731958762886
South Africa,2.4210953E7,2.1038797E7,19581.04326923077,490.88516746411483
Burkina Faso,6089089.0,5232347.0,127.38505747126437,2.2988505747126435
Bermuda,48554.0,47657.0,126.57718120805369,1.1073825503355705
Bahrain,1241174.0,1226796.0,4804.23448275862,10.593103448275862
Colombia,4.3012174E7,3.7204128E7,29604.88425925926,660.7731481481482
Hungary,6358657.0,6152022.0,8878.626984126984,194.90873015873015
Pakistan,1.6556789E8,1.40475871E8,9697.122699386504,188.07361963190183
Vanuatu,176624.0,162250.0,58.62926829268293,0.06829268292682927
Niue,1638.0,1635.0,5.150943396226415,0.0
Mauritius,1123773.0,1088142.0,1402.9191489361701,4.5702127659574465
Syrian Arab Republic,3295630.0,2358365.0,401.55944055944053,22.11888111888112
Mali,4354292.0,3633589.0,150.13574660633483,3.3468468468468466
